,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ꀀ,,,,ꀄ,,ꀆ,,,,,,,,ꀎ,
,ꀑ,ꀒ,,,,ꀖ,,ꀘ,ꀙ,ꀚ,,,ꀝ,,
,,,ꀣ,,,,,ꀨ,,ꀪ,ꀫ,ꀬ,,,ꀯ
,,,,,,,,,,ꀺ,ꀻ,,ꀽ,ꀾ,
,,,,,,,,,,ꁊ,,ꁌ,ꁍ,,ꁏ
,,ꁒ,,,,,,,ꁙ,,,,ꁝ,ꁞ,
ꁠ,ꁡ,,,ꁤ,,,,,,,,ꁬ,,,
,ꁱ,ꁲ,,,ꁵ,,,ꁸ,,,,,,,ꁿ
ꂀ,,,,,,,ꂇ,ꂈ,,,,,,,
,ꂑ,,ꂓ,ꂔ,,ꂖ,ꂗ,,,ꂚ,,,,,ꂟ
,,ꂢ,ꂣ,,ꂥ,ꂦ,,ꂨ,,,,,,,
,,,,,ꂵ,,ꂷ,,ꂹ,,,,ꂽ,,ꂿ
,,ꃂ,,,ꃅ,ꃆ,,ꃈ,ꃉ,,ꃋ,ꃌ,ꃍ,,
,ꃑ,,,ꃔ,,,,ꃘ,,ꃚ,ꃛ,,,,
,,ꃢ,,,,,,,,ꃪ,,ꃬ,,ꃮ,
,,,,,,,,,ꃹ,,,ꃼ,ꃽ,,
ꄀ,,,,,,,,,ꄉ,,,,,,
ꄐ,,ꄒ,ꄓ,,,,ꄗ,,,,,,,,
ꄠ,ꄡ,,ꄣ,ꄤ,,,,,ꄩ,,ꄫ,ꄬ,,,ꄯ
ꄰ,,,,,,,,ꄸ,,,,ꄼ,,,
ꅀ,,,ꅃ,ꅄ,,,,,ꅉ,,ꅋ,,ꅍ,ꅎ,
,ꅑ,,ꅓ,,,,,,,,,,,,
,,ꅢ,,ꅤ,ꅥ,,,,,ꅪ,ꅫ,ꅬ,,,ꅯ
ꅰ,,ꅲ,,,ꅵ,,,,,,ꅻ,,,,
,,,,,,,,,ꆉ,ꆊ,,,ꆍ,,ꆏ
,ꆑ,,ꆓ,,,,,,,,,ꆜ,,ꆞ,
ꆠ,,,ꆣ,ꆤ,,,ꆧ,,ꆩ,,,,ꆭ,,
ꆰ,ꆱ,,,ꆴ,,,,,ꆹ,,ꆻ,,ꆽ,ꆾ,ꆿ
,ꇁ,,ꇃ,,,,ꇇ,,ꇉ,ꇊ,,ꇌ,,ꇎ,
ꇐ,ꇑ,,ꇓ,,,,,,,,,,,ꇞ,
ꇠ,ꇡ,ꇢ,,,,,,,ꇩ,,,,ꇭ,,
