𖼀,𖼁,𖼂,𖼃,,,,,,𖼉,,𖼋,,,,
,𖼑,,,𖼔,𖼕,,𖼗,𖼘,𖼙,𖼚,𖼛,𖼜,𖼝,𖼞,𖼟
,,,,,,,,,,,,,,,
𖼰,,,,,,,,,,,,,,𖼾,
